time,open,high,low,close
1628934660,3297.78,3299.47,3290.05,3291.71
1628935440,3276.48,3285.72,3276.23,3283.43
1628935500,3282.99,3283.85,3276.0,3276.0
1628935560,3272.2,3274.33,3268.7,3274.33
1628935620,3273.83,3273.83,3273.83,3273.83
1628935680,3264.32,3264.32,3264.32,3264.32
1628935740,3260.8,3260.8,3255.0,3255.0
1628935800,3257.72,3260.44,3257.72,3260.44
1628935860,3258.11,3260.92,3258.11,3260.92
1628935920,3255.4,3255.4,3255.4,3255.4
1628935980,3255.4,3255.4,3255.4,3255.4
1628936040,3250.0,3250.0,3239.0,3239.0
1628936100,3239.0,3241.64,3239.0,3241.64
1628936160,3242.19,3248.41,3242.19,3248.41
1628936220,3247.09,3247.09,3245.0,3245.3
1628936280,3244.26,3244.26,3244.26,3244.26
1628936340,3248.18,3248.18,3235.0,3235.0
1628936400,3231.39,3231.39,3225.69,3230.86
1628936460,3230.93,3238.89,3230.93,3238.51
1628936520,3233.64,3233.64,3232.40,3233.52
1628936580,3237.10,3238.46,3237.10,3238.46
1628936640,3238.46,3238.46,3238.46,3238.46
1628936700,3238.65,3238.65,3238.65,3238.65
1628936760,3244.89,3244.89,3244.47,3244.47
1628936820,3246.59,3246.59,3246.59,3246.59
1628936880,3257.41,3258.33,3257.41,3258.33
1628936940,3258.33,3258.33,3258.33,3258.33
1628937000,3244.45,3246.91,3244.45,3246.91
1628937060,3245.81,3245.81,3245.81,3245.81
1628937120,3245.81,3245.81,3245.81,3245.81
1628937180,3245.81,3245.81,3245.81,3245.81
1628937240,3253.90,3254.39,3253.90,3254.39
1628937300,3254.39,3254.39,3254.39,3254.39
1628937360,3253.37,3253.37,3253.37,3253.37
1628937420,3255.11,3255.91,3255.11,3255.91
1628937480,3248.86,3248.86,3248.18,3248.18
1628937540,3246.62,3249.45,3246.62,3249.45
1628937600,3252.96,3253.13,3252.96,3253.13
1628937660,3254.00,3254.52,3254.00,3254.52
1628937720,3254.52,3254.52,3254.52,3254.52
1628937780,3249.00,3249.00,3249.00,3249.00
1628937840,3249.00,3249.00,3249.00,3249.00
1628937900,3249.00,3249.00,3249.00,3249.00
1628937960,3240.00,3240.00,3239.06,3239.06
1628938020,3239.06,3239.06,3235.97,3235.97
1628938080,3241.84,3242.90,3241.84,3242.90
1628938140,3242.90,3242.90,3242.90,3242.90
1628938200,3242.90,3242.90,3242.90,3242.90
1628938260,3242.90,3242.90,3242.90,3242.90
1628938320,3231.44,3231.44,3222.95,3229.05
1628938380,3226.45,3226.45,3222.39,3222.39
1628938440,3220.05,3220.05,3210.90,3217.09
1628938500,3210.43,3210.43,3205.20,3205.20
1628938560,3218.89,3218.89,3218.89,3218.89
1628938620,3222.69,3222.69,3220.57,3220.57
1628938680,3220.51,3220.51,3216.17,3219.65
1628938740,3221.48,3221.48,3221.47,3221.47
1628938800,3221.45,3221.45,3220.60,3220.60
1628938860,3226.00,3226.00,3216.74,3216.74
1628938920,3214.72,3214.72,3205.68,3210.45
1628938980,3221.09,3223.87,3220.30,3223.87
1628939040,3223.65,3223.65,3222.76,3222.76
1628939100,3218.06,3218.06,3218.06,3218.06
1628939160,3218.06,3218.06,3218.06,3218.06
1628939220,3224.36,3224.36,3224.36,3224.36
1628939280,3228.20,3228.60,3227.42,3227.42
1628939340,3231.96,3232.93,3231.59,3232.93
1628939400,3232.93,3232.93,3232.93,3232.93
1628939460,3229.38,3229.55,3229.38,3229.55
1628939520,3230.83,3230.83,3230.83,3230.83
1628939580,3225.49,3225.49,3225.49,3225.49
1628939640,3229.31,3230.31,3229.31,3230.31
1628939700,3231.36,3231.36,3231.36,3231.36
1628939760,3226.64,3226.64,3226.64,3226.64
1628939820,3224.36,3224.36,3219.48,3219.48
1628939880,3220.70,3223.94,3219.71,3223.94
1628939940,3223.02,3223.02,3222.65,3222.65
1628940000,3219.71,3219.71,3219.71,3219.71
1628940060,3218.47,3218.47,3218.46,3218.46
1628940120,3223.34,3223.34,3223.34,3223.34
1628940180,3223.34,3223.34,3223.34,3223.34
1628940240,3224.94,3224.94,3224.29,3224.29
1628940300,3224.40,3227.94,3224.40,3227.94
1628940360,3227.94,3227.94,3227.94,3227.94
1628940420,3222.69,3222.69,3222.69,3222.69
1628940480,3219.19,3219.19,3219.19,3219.19
1628940540,3220.75,3220.75,3220.75,3220.75
1628940600,3220.00,3220.00,3220.00,3220.00
1628940660,3220.65,3220.65,3220.65,3220.65
1628940720,3229.96,3229.96,3229.96,3229.96
1628940780,3229.96,3229.96,3229.96,3229.96
1628940840,3224.71,3224.71,3219.98,3219.98
1628940900,3219.98,3219.98,3219.98,3219.98
1628940960,3219.98,3219.98,3219.98,3219.98
1628941020,3219.98,3219.98,3219.98,3219.98
1628941080,3219.98,3219.98,3219.98,3219.98
1628941140,3219.98,3219.98,3219.98,3219.98
1628941200,3216.89,3216.89,3216.89,3216.89
1628941260,3215.08,3215.08,3215.08,3215.08
1628941320,3215.06,3217.96,3215.06,3217.54
1628941380,3217.18,3217.18,3216.68,3216.68
1628941440,3216.68,3216.68,3216.68,3216.68
1628941500,3221.80,3221.88,3221.80,3221.88
1628941560,3223.80,3223.80,3223.80,3223.80
1628941620,3228.71,3228.71,3228.71,3228.71
1628941680,3232.17,3232.60,3232.17,3232.60
1628941740,3232.60,3232.60,3232.60,3232.60
1628941800,3233.00,3233.01,3233.00,3233.01
1628941860,3231.70,3233.06,3230.73,3233.06
1628941920,3233.06,3233.06,3233.06,3233.06
1628941980,3233.35,3233.35,3233.35,3233.35
1628942040,3239.86,3239.86,3237.75,3237.75
1628942100,3237.75,3238.79,3237.75,3238.79
1628942160,3238.79,3238.79,3238.79,3238.79
1628942220,3241.25,3242.90,3241.25,3242.90
1628942280,3242.96,3243.00,3242.96,3243.00
1628942340,3243.00,3243.00,3243.00,3243.00
1628942400,3242.99,3243.00,3240.79,3240.79
1628942460,3240.79,3240.79,3240.79,3240.79
1628942520,3243.00,3252.50,3243.00,3252.50
1628942580,3251.46,3251.46,3251.46,3251.46
1628942640,3246.30,3246.30,3245.28,3245.28
1628942700,3245.28,3245.28,3245.28,3245.28
1628942760,3242.63,3242.63,3242.63,3242.63
1628942820,3242.63,3242.63,3242.63,3242.63
1628942880,3242.63,3242.63,3242.63,3242.63
1628942940,3242.63,3242.63,3242.63,3242.63
1628943000,3236.61,3236.61,3236.11,3236.11
1628943060,3236.11,3236.11,3236.11,3236.11
1628943120,3242.85,3243.07,3242.83,3243.07
1628943180,3243.90,3243.90,3243.90,3243.90
1628943240,3239.67,3239.67,3239.67,3239.67
1628943300,3239.67,3239.67,3239.67,3239.67
1628943360,3233.35,3233.35,3232.68,3232.68
1628943420,3232.68,3232.68,3232.68,3232.68
1628943480,3230.01,3230.01,3230.01,3230.01
1628943540,3230.00,3230.00,3223.73,3223.73
1628943600,3229.63,3229.63,3229.63,3229.63
1628943660,3229.63,3229.63,3229.63,3229.63
1628943720,3228.04,3228.04,3228.04,3228.04
1628943780,3228.04,3228.04,3228.04,3228.04
