time,open,high,low,close
1629274320,3036.6,3036.6,3036.6,3036.6
1629274380,3042.1,3042.1,3042.1,3042.1
1629274440,3042.1,3042.1,3042.1,3042.1
1629274500,3042.62,3045.71,3042.62,3045.71
1629274560,3048.14,3048.34,3047.84,3048.34
1629274620,3049.07,3049.07,3049.07,3049.07
1629274680,3049.07,3049.07,3049.07,3049.07
1629274740,3049.07,3049.07,3049.07,3049.07
1629274800,3041.15,3041.15,3041.15,3041.15
1629274860,3038.5,3038.5,3038.4,3038.4
1629274920,3038.01,3038.01,3038.01,3038.01
1629274980,3035.9,3035.9,3033.23,3033.23
1629275040,3033.06,3033.06,3033.06,3033.06
1629275100,3033.06,3033.06,3033.06,3033.06
1629275160,3033.06,3033.06,3033.06,3033.06
1629275220,3033.5,3033.5,3033.5,3033.5
1629275280,3030.11,3030.11,3030.11,3030.11
1629275340,3030.11,3030.11,3030.11,3030.11
1629275400,3026.19,3026.19,3026.19,3026.19
1629275460,3026.19,3026.19,3026.19,3026.19
1629275520,3026.18,3026.18,3023.07,3023.07
1629275580,3019.33,3019.33,3016.92,3017.92
1629275640,3017.92,3017.92,3017.92,3017.92
1629275700,3023.07,3023.07,3023.07,3023.07
1629275760,3023.07,3023.07,3023.07,3023.07
1629275820,3023.07,3025.6,3023.07,3025.11
1629275880,3025.11,3025.11,3025.11,3025.11
1629275940,3025.11,3025.11,3025.11,3025.11
1629276000,3030.0,3030.0,3030.0,3030.0
1629276060,3033.35,3033.35,3033.35,3033.35
1629276120,3035.38,3035.38,3035.38,3035.38
1629276180,3035.83,3036.69,3035.83,3036.69
1629276240,3032.94,3032.94,3031.97,3031.97
1629276300,3033.79,3035.82,3033.79,3035.82
1629276360,3036.21,3036.21,3036.21,3036.21
1629276420,3037.39,3037.55,3037.39,3037.55
1629276480,3037.55,3037.55,3037.55,3037.55
1629276540,3037.55,3037.55,3037.55,3037.55
1629276600,3037.55,3037.55,3037.55,3037.55
1629276660,3037.55,3037.55,3037.55,3037.55
1629276720,3035.71,3038.35,3035.7,3038.35
1629276780,3038.31,3040.14,3038.31,3040.14
1629276840,3040.03,3040.03,3037.83,3037.83
1629276900,3037.83,3037.83,3037.83,3037.83
1629276960,3037.83,3037.83,3037.83,3037.83
1629277020,3040.64,3041.52,3040.63,3041.5
