time,open,high,low,close
1628074980,2500.71,2500.71,2500.71,2500.71
1628075040,2500.71,2500.71,2500.71,2500.71
1628075100,2502.21,2504.27,2502.21,2504.27
1628075160,2509.64,2509.64,2509.64,2509.64
1628075220,2509.64,2509.64,2509.64,2509.64
1628075280,2509.64,2509.64,2509.64,2509.64
1628075340,2511.05,2511.05,2511.05,2511.05
1628075400,2509.70,2509.70,2509.70,2509.70
1628075460,2509.70,2509.70,2509.70,2509.70
1628075520,2506.18,2506.18,2505.17,2505.17
1628075580,2503.39,2503.94,2502.98,2502.98
1628075640,2502.98,2502.98,2502.98,2502.98
1628075700,2502.98,2502.98,2502.98,2502.98
1628075760,2501.15,2501.15,2500.89,2500.89
1628075820,2500.89,2500.89,2500.89,2500.89
1628075880,2499.88,2499.88,2499.88,2499.88
1628075940,2499.88,2499.88,2499.88,2499.88
1628076000,2500.00,2500.00,2500.00,2500.00
1628076060,2500.00,2500.00,2500.00,2500.00
1628076120,2501.77,2501.77,2501.77,2501.77
1628076180,2501.77,2501.77,2501.77,2501.77
1628076240,2501.77,2501.77,2501.77,2501.77
1628076300,2503.13,2503.30,2503.13,2503.30
1628076360,2503.88,2504.29,2503.88,2504.29
1628076420,2504.29,2504.29,2504.29,2504.29
1628076480,2504.29,2504.29,2504.29,2504.29
1628076540,2504.29,2504.29,2504.29,2504.29
1628076600,2504.29,2504.29,2504.29,2504.29
1628076660,2504.29,2504.29,2504.29,2504.29
1628076720,2505.56,2506.60,2505.56,2506.60
1628076780,2506.91,2506.91,2506.91,2506.91
1628076840,2506.91,2506.91,2506.91,2506.91
1628076900,2506.91,2506.91,2506.91,2506.91
1628076960,2506.91,2506.91,2506.91,2506.91
1628077020,2506.91,2506.91,2506.91,2506.91
1628077080,2506.91,2506.91,2506.91,2506.91
1628077140,2508.41,2508.41,2508.41,2508.41
1628077200,2508.41,2508.41,2508.41,2508.41
1628077260,2508.41,2508.41,2508.41,2508.41
1628077320,2508.41,2508.41,2508.41,2508.41
